ID,frameNumber,Goal,distanceToGoal,Height,angleToGoal,shotType,numDefenders,underPressure
76561198799226283,817,1,2656.4677603252167,452.8800048828125,47.96696532233906,"['pass', 'aerial']",0,0
76561198421981724,1639,0,4594.58675321654,98.62000274658203,57.892783027239595,['open play'],1,0
76561198164765910,1830,0,2324.943605766671,112.04000091552734,24.81339379363777,['open play'],2,1
76561198289610054,1881,0,2290.0422080713365,492.6400146484375,56.07793831009733,['aerial'],0,0
76561198164765910,2391,0,2618.1657791852863,204.80999755859375,16.080169601566773,['open play'],2,1
76561198421981724,3644,0,8324.833604329895,357.3500061035156,35.91442481896962,['pass'],2,1
76561198381037239,3818,0,2843.035869092439,520.8599853515625,43.36972397573934,"['pass', 'aerial']",2,1
76561199023677910,4320,0,2780.214376445676,130.99000549316406,16.37027520851718,['dribble'],0,
76561198799226283,4670,1,3307.757946520916,241.2899932861328,49.79852199579166,['open play'],3,0
76561198421981724,5485,0,2614.960217836531,841.1400146484375,46.104151023640384,"['pass', 'aerial']",0,1
76561199023677910,7019,0,2928.1357043124785,220.6300048828125,32.56914800462629,['open play'],0,0
76561199023677910,7709,0,2631.6770354781174,935.239990234375,48.04757464049101,"['pass', 'aerial']",1,0
76561198799226283,7843,0,5583.088153787395,1077.1300048828125,33.932073908870684,['aerial'],2,0
76561199023677910,8668,1,6249.757536096951,632.8900146484375,54.8928512423683,"['pass', 'aerial']",1,1
76561198381037239,9792,0,1451.0153575425807,152.2100067138672,26.768651564539923,['pass'],2,1
76561198289610054,9883,0,2809.1054531539553,346.54998779296875,16.2883878989381,['pass'],1,0
76561198164765910,10092,1,1359.4502021505286,102.0,45.67275836246819,['pass'],0,0
76561198398125000,264,1,608.3423347589076,104.54000091552734,14.66672610886046,['open play'],0,0
76561198153434719,976,0,4093.375284366737,217.60000610351562,22.32126494063298,['open play'],1,0
76561198153434719,1250,0,4999.176388164646,438.3999938964844,67.20843762869089,"['pass', 'aerial']",0,0
76561198368482029,3367,1,4644.190953664252,1207.5,39.48492451041713,['aerial'],2,0
76561198354196137,3886,0,2981.2917275774744,960.780029296875,43.00601033754862,"['dribble', 'aerial']",1,1
76561198153434719,4542,0,4092.460279068321,111.66999816894531,51.43814683290948,['open play'],0,0
76561198799189161,4855,0,1650.7485562563534,535.4400024414062,27.310794617591398,"['dribble', 'aerial']",0,1
76561198803799478,5433,0,3845.1165379480212,113.05000305175781,34.01910621896872,['dribble'],0,1
76561198799189161,6267,0,3583.1138065429454,126.52999877929688,16.698256673404,['open play'],2,0
76561198368482029,6915,1,7420.859027551422,711.0599975585938,68.45406455768585,"['pass', 'aerial']",0,0
76561198354196137,8685,0,3386.599286146103,207.1999969482422,69.60174240710994,['open play'],1,0
76561198153434719,9723,0,5190.9149465413575,455.3500061035156,51.11298055107624,"['pass', 'aerial']",2,0
76561198803799478,9773,1,806.8533953490668,207.05999755859375,22.60486242090263,['pass'],0,0
76561198398125000,10233,0,5342.0194936256685,603.1300048828125,72.58121372697744,['aerial'],1,1
76561198305338233,344,0,4630.651100251344,983.6799926757812,55.504923210802765,"['dribble', 'aerial']",2,0
76561198212117519,1577,0,3743.3070134561945,297.489990234375,64.12501581332363,['open play'],2,0
76561198212117519,1913,1,1735.9850136258117,296.3299865722656,31.6419444889187,['pass'],2,1
76561198212117519,2303,0,4188.780524383743,664.760009765625,53.57458784233187,"['pass', 'aerial']",1,0
76561198258466111,2796,0,3159.4580674812214,876.5999755859375,57.79533791108562,"['pass', 'aerial']",0,1
76561198258466111,2846,1,947.2825382466506,436.19000244140625,35.03814291140279,['aerial'],1,1
76561198873686308,5201,1,1701.2736947597994,377.07000732421875,58.29490687671455,['pass'],0,0
76561198873686308,5932,1,2959.7839983772137,299.7900085449219,71.26076758140776,['pass'],0,0
76561198212117519,6236,0,5202.337201166253,92.55000305175781,80.04937321403425,['open play'],1,0
76561198807532049,6339,0,5757.005584680423,1011.4000244140625,65.23943408560494,"['dribble', 'aerial']",1,0
76561198258466111,6434,0,3367.557616188701,853.0,73.07907612930998,"['pass', 'aerial']",1,0
76561198873686308,6999,1,4685.3536423242085,1029.6700439453125,45.690171948923364,"['dribble', 'aerial']",1,0
76561198807532049,7788,0,4712.531433939053,556.72998046875,43.00055744168545,"['dribble', 'aerial']",1,1
76561198258466111,8063,0,2657.188868624638,668.6699829101562,36.19448229244215,"['pass', 'aerial']",1,0
76561198807532049,8179,0,5747.633322736993,498.5199890136719,65.07153034126455,"['pass', 'aerial']",0,1
76561198960239428,8596,1,1957.2314977124945,292.6400146484375,57.00821450778538,['pass'],0,1
76561198960239428,9976,0,1898.7746621732617,100.63999938964844,40.86698873056673,['pass'],1,1
76561198807532049,10421,0,2862.540705204443,145.58999633789062,29.115168851713918,['dribble'],0,0
76561198807532049,11313,1,3615.529740021736,1490.52001953125,43.14288860615056,"['dribble', 'aerial']",3,0
76561198305338233,210,0,5348.0405666653405,95.66000366210938,79.76914714872373,['open play'],0,0
76561198305338233,1109,0,3130.2527967732726,573.489990234375,54.3589519382222,['aerial'],0,0
76561198293785594,1908,0,2148.190833425728,132.8300018310547,64.60573582288201,['open play'],0,
76561198293785594,1937,1,789.095707302116,107.05000305175781,13.1565738756934,['open play'],0,0
76561198807532049,3012,1,1927.9682118597577,449.04998779296875,61.8848174840644,"['pass', 'aerial']",0,1
76561198305338233,4904,1,2702.0206443173033,220.17999267578125,59.89326512412168,['dribble'],1,1
76561198061585314,5348,0,3293.264191781925,124.30999755859375,32.59277023951205,['open play'],2,1
